categoria,texto,texto_limpio
business,"TimeWarner said fourth quarter sales rose 2% to $11.1bn from $10.9bn.For the full-year, TimeWarner posted a profit of $3.36bn, up 27% from its 2003 performance, while revenues grew 6.4% to $42.09bn.Quarterly profits at US media giant TimeWarner jumped 76% to $1.13bn (Â£600m) for the three months to December, from $639m year-earlier.However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.For 2005, TimeWarner is projecting operating earnings growth of around 5%, and also expects higher revenue and wider profit margins.It lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters.Time Warner's fourth quarter profits were slightly better than analysts' expectations.",timewarner said fourth quarter sale rose bn bnfor fullyear timewarner posted profit bn performance revenue grew bnquarterly profit u medium giant timewarner jumped bn three month december yearearlierhowever company said aols underlying profit exceptional item rose back stronger internet advertising revenuesits profit buoyed oneoff gain offset profit dip warner bros less user aolfor timewarner projecting operating earnings growth around also expects higher revenue wider profit marginsit lost subscriber fourth quarter profit lower preceding three quarterstime warner fourth quarter profit slightly better analyst expectation
business,"The dollar has hit its highest level against the euro in almost three months after the Federal Reserve head said the US trade deficit is set to stabilise.China's currency remains pegged to the dollar and the US currency's sharp falls in recent months have therefore made Chinese export prices highly competitive.Market concerns about the deficit has hit the greenback in recent months.""I think the chairman's taking a much more sanguine view on the current account deficit than he's taken for some time,"" said Robert Sinche, head of currency strategy at Bank of America in New York.The recent falls have partly been the result of big budget deficits, as well as the US's yawning current account gap, both of which need to be funded by the buying of US bonds and assets by foreign firms and governments.""He's taking a longer-term view, laying out a set of conditions under which the current account deficit can improve this year and next.""",dollar hit highest level euro almost three month federal reserve head said u trade deficit set stabilisechinas currency remains pegged dollar u currency sharp fall recent month therefore made chinese export price highly competitivemarket concern deficit hit greenback recent monthsi think chairman taking much sanguine view current account deficit he taken time said robert sinche head currency strategy bank america new yorkthe recent fall partly result big budget deficit well us yawning current account gap need funded buying u bond asset foreign firm governmentshes taking longerterm view laying set condition current account deficit improve year next
business,"Yukos' owner Menatep Group says it will ask Rosneft to repay a loan that Yugansk had secured on its assets.State-owned Rosneft bought the Yugansk unit for $9.3bn in a sale forced by Russia to part settle a $27.5bn tax claim against Yukos.The sale went ahead in December and Yugansk was sold to a little-known shell company which in turn was bought by Rosneft.But the company has said it intends to take action against Menatep to recover some of the tax claims and debts owed by Yugansk.""The pledged assets are with Rosneft, so it will have to pay real money to the creditors to avoid seizure of Yugansk assets,"" said Moscow-based US lawyer Jamie Firestone, who is not connected to the case.",yukos owner menatep group say ask rosneft repay loan yugansk secured assetsstateowned rosneft bought yugansk unit bn sale forced russia part settle bn tax claim yukosthe sale went ahead december yugansk sold littleknown shell company turn bought rosneftbut company said intends take action menatep recover tax claim debt owed yuganskthe pledged asset rosneft pay real money creditor avoid seizure yugansk asset said moscowbased u lawyer jamie firestone connected case
business,"Rod Eddington, BA's chief executive, said the results were ""respectable"" in a third quarter when fuel costs rose by Â£106m or 47.3%.To help offset the increased price of aviation fuel, BA last year introduced a fuel surcharge for passengers.BA had previously forecast a 2% to 3% rise in full-year revenue.""It is quite good on the revenue side and it shows the impact of fuel surcharges and a positive cargo development, however, operating margins down and cost impact of fuel are very strong,"" he said.Yet aviation analyst Mike Powell of Dresdner Kleinwort Wasserstein says BA's estimated annual surcharge revenues - Â£160m - will still be way short of its additional fuel costs - a predicted extra Â£250m.""For the year to March 2005, the total revenue outlook is slightly better than previous guidance with a 3% to 3.5% improvement anticipated,"" BA chairman Martin Broughton said.Looking ahead to its full year results to March 2005, BA warned that yields - average revenues per passenger - were expected to decline as it continues to lower prices in the face of competition from low-cost carriers.BA's profits were still better than market expectation of Â£59m, and it expects a rise in full-year revenues.",rod eddington ba chief executive said result respectable third quarter fuel cost rose help offset increased price aviation fuel ba last year introduced fuel surcharge passengersba previously forecast rise fullyear revenueit quite good revenue side show impact fuel surcharge positive cargo development however operating margin cost impact fuel strong saidyet aviation analyst mike powell dresdner kleinwort wasserstein say ba estimated annual surcharge revenue still way short additional fuel cost predicted extra mfor year march total revenue outlook slightly better previous guidance improvement anticipated ba chairman martin broughton saidlooking ahead full year result march ba warned yield average revenue per passenger expected decline continues lower price face competition lowcost carriersbas profit still better market expectation expects rise fullyear revenue
business,"Pernod has reduced the debt it took on to fund the Seagram purchase to just 1.8bn euros, while Allied has improved the performance of its fast-food chains.Shares in UK drinks and food firm Allied Domecq have risen on speculation that it could be the target of a takeover by France's Pernod Ricard.Pernod said it was seeking acquisitions but refused to comment on specifics.In terms of market value, Pernod - at 7.5bn euros ($9.7bn) - is about 9% smaller than Allied Domecq, which has a capitalisation of Â£5.7bn ($10.7bn; 8.2bn euros).Allied Domecq shares in London rose 4% by 1200 GMT, while Pernod shares in Paris slipped 1.2%.",pernod reduced debt took fund seagram purchase bn euro allied improved performance fastfood chainsshares uk drink food firm allied domecq risen speculation could target takeover france pernod ricardpernod said seeking acquisition refused comment specificsin term market value pernod bn euro bn smaller allied domecq capitalisation bn bn bn eurosallied domecq share london rose gmt pernod share paris slipped
business,"On an annual basis, the data suggests annual growth of just 0.2%, suggesting a much more hesitant recovery than had previously been thought.A common technical definition of a recession is two successive quarters of negative growth.Revised figures indicated growth of just 0.1% - and a similar-sized contraction in the previous quarter.Japan's economy teetered on the brink of a technical recession in the three months to September, figures show.",annual basis data suggests annual growth suggesting much hesitant recovery previously thoughta common technical definition recession two successive quarter negative growthrevised figure indicated growth similarsized contraction previous quarterjapans economy teetered brink technical recession three month september figure show
business,"The job gains mean that President Bush can celebrate - albeit by a very fine margin - a net growth in jobs in the US economy in his first term in office.Analysts said the growth in new jobs was not as strong as could be expected given the favourable economic conditions.The Labor Department also said it had revised down the jobs gains in December 2004, from 157,000 to 133,000.The US created fewer jobs than expected in January, but a fall in jobseekers pushed the unemployment rate to its lowest level in three years.""The economy is producing a moderate but not a satisfying amount of job growth,"" said Ken Mayland, president of ClearView Economics.He presided over a net fall in jobs up to last November's Presidential election - the first President to do so since Herbert Hoover.",job gain mean president bush celebrate albeit fine margin net growth job u economy first term officeanalysts said growth new job strong could expected given favourable economic conditionsthe labor department also said revised job gain december u created fewer job expected january fall jobseekers pushed unemployment rate lowest level three yearsthe economy producing moderate satisfying amount job growth said ken mayland president clearview economicshe presided net fall job last november presidential election first president since herbert hoover
business,"At a conference on developing enterprise hosted by UK finance minister Gordon Brown on Friday, he said that he was in favour of floating exchange rates because they help countries cope with economic shocks.In London on Thursday ahead of the meeting, India's finance minister, lashed out at the restrictive trade policies of the G7 nations.Mr Chidambaram is attending the G7 meeting as part of the G20 group of nations, which account for two thirds of the world's population.China is expected to face renewed pressure to abandon its fixed exchange rate, which G7 nations, in particular the US, have blamed for a surge in cheap Chinese exports.Palaniappan Chidambaram, India's finance minister, argued that these organisations need to take into account the changing world order, given India and China's integration into the global economy.India, along with China, Brazil, South Africa and Russia, has been invited to take part in the G7 meeting taking place in London on Friday and Saturday.",conference developing enterprise hosted uk finance minister gordon brown friday said favour floating exchange rate help country cope economic shocksin london thursday ahead meeting india finance minister lashed restrictive trade policy g nationsmr chidambaram attending g meeting part g group nation account two third world populationchina expected face renewed pressure abandon fixed exchange rate g nation particular u blamed surge cheap chinese exportspalaniappan chidambaram india finance minister argued organisation need take account changing world order given india china integration global economyindia along china brazil south africa russia invited take part g meeting taking place london friday saturday
business,"In 2003, crop production totalled 11.49 million tonnes, the joint report from the Food and Agriculture Organisation and the World Food Programme said.The Food and Agriculture Organisation (FAO) recommend that the food assistance is bought locally.Last year, a total of 965,000 tonnes of food assistance was needed to help seven million Ethiopians.The report calculated emergency food requirements for 2005 to be 387,500 tonnes.On top of that, 89,000 tonnes of fortified blended food and vegetable oil for ""targeted supplementary food distributions for a survival programme for children under five and pregnant and lactating women"" will be needed.",crop production totalled million tonne joint report food agriculture organisation world food programme saidthe food agriculture organisation fao recommend food assistance bought locallylast year total tonne food assistance needed help seven million ethiopiansthe report calculated emergency food requirement tonneson top tonne fortified blended food vegetable oil targeted supplementary food distribution survival programme child five pregnant lactating woman needed
business,"A US government claim accusing the country's biggest tobacco companies of covering up the effects of smoking has been thrown out by an appeal court.The tobacco companies deny that they illegally conspired to promote smoking and defraud the public.In its case, the government claimed tobacco firms manipulated nicotine levels to increase addiction, targeted teenagers with multi-billion dollar advertising campaigns, lied about the dangers of smoking and ignored research to the contrary.Shares of tobacco companies closed higher after the ruling, with Altria rising 5% and Reynolds showing gains of 4.5%.",u government claim accusing country biggest tobacco company covering effect smoking thrown appeal courtthe tobacco company deny illegally conspired promote smoking defraud publicin case government claimed tobacco firm manipulated nicotine level increase addiction targeted teenager multibillion dollar advertising campaign lied danger smoking ignored research contraryshares tobacco company closed higher ruling altria rising reynolds showing gain
